类型,WindCode,成交日期时间,成交价格,成交数量,成交金额,买卖方向
transaction,600000.SH,2016-05-04 09:36:10.480000,18.15,400,7259.0,83
transaction,600000.SH,2016-05-04 09:36:10.480000,18.15,600,10890.0,83
transaction,600000.SH,2016-05-04 09:36:10.480000,18.15,400,7259.0,83
transaction,000001.SZ,2016-05-04 09:36:11.820000,10.71,100,1071.0,66
transaction,000001.SZ,2016-05-04 09:36:11.850000,0.0,700,0.0,32
transaction,000001.SZ,2016-05-04 09:36:12.430000,0.0,2500,0.0,32
transaction,000001.SZ,2016-05-04 09:36:12.750000,10.71,1000,10710.0,66
transaction,000001.SZ,2016-05-04 09:36:13.580000,10.71,1199,12841.0,66
transaction,000001.SZ,2016-05-04 09:36:13.580000,10.71,301,3223.0,66
transaction,000001.SZ,2016-05-04 09:36:14.030000,10.71,200,2142.0,66
transaction,000001.SZ,2016-05-04 09:36:14.140000,10.71,1400,14994.0,66
transaction,000001.SZ,2016-05-04 09:36:14.500000,10.71,600,6426.0,66
transaction,000001.SZ,2016-05-04 09:36:14.590000,10.71,499,5344.0,66
transaction,000001.SZ,2016-05-04 09:36:14.590000,10.71,1501,16075.0,66
transaction,000001.SZ,2016-05-04 09:36:15.050000,0.0,10000,0.0,32
transaction,000001.SZ,2016-05-04 09:36:15.340000,10.71,1499,16054.0,66
transaction,000001.SZ,2016-05-04 09:36:15.340000,10.71,501,5365.0,66
transaction,000001.SZ,2016-05-04 09:36:15.840000,10.71,100,1071.0,66
transaction,000001.SZ,2016-05-04 09:36:15.910000,10.71,1000,10710.0,66
transaction,000001.SZ,2016-05-04 09:36:16.860000,10.71,399,4273.0,66
transaction,000001.SZ,2016-05-04 09:36:16.860000,10.71,1100,11781.0,66
transaction,000001.SZ,2016-05-04 09:36:16.860000,10.71,8501,91045.0,66
transaction,600000.SH,2016-05-04 09:36:15.470000,18.16,100,1816.0,66
transaction,600000.SH,2016-05-04 09:36:15.470000,18.17,400,7268.0,66
transaction,000001.SZ,2016-05-04 09:36:17.630000,10.71,1499,16054.0,66
transaction,000001.SZ,2016-05-04 09:36:17.630000,10.71,301,3223.0,66
transaction,000001.SZ,2016-05-04 09:36:17.740000,10.71,1500,16065.0,66
transaction,000001.SZ,2016-05-04 09:36:17.880000,0.0,2900,0.0,32
transaction,000001.SZ,2016-05-04 09:36:18.340000,0.0,100,0.0,32
transaction,000001.SZ,2016-05-04 09:36:18.950000,0.0,900,0.0,32
transaction,000001.SZ,2016-05-04 09:36:19.610000,10.71,500,5355.0,66
transaction,000001.SZ,2016-05-04 09:36:19.830000,0.0,2800,0.0,32
transaction,600000.SH,2016-05-04 09:36:18.780000,18.17,100,1817.0,66
transaction,600000.SH,2016-05-04 09:36:18.780000,18.18,1000,18180.0,66
transaction,600000.SH,2016-05-04 09:36:18.860000,18.18,800,14544.0,66
transaction,600000.SH,2016-05-04 09:36:18.860000,18.18,300,5454.0,66
transaction,600000.SH,2016-05-04 09:36:18.860000,18.18,15000,272700.0,66
transaction,600000.SH,2016-05-04 09:36:18.860000,18.18,200,3636.0,66
transaction,600000.SH,2016-05-04 09:36:18.860000,18.18,300,5454.0,66
transaction,600000.SH,2016-05-04 09:36:18.860000,18.18,1000,18180.0,66
transaction,600000.SH,2016-05-04 09:36:18.860000,18.18,500,9090.0,66
transaction,600000.SH,2016-05-04 09:36:18.860000,18.18,400,7272.0,66
transaction,600000.SH,2016-05-04 09:36:18.860000,18.18,1000,18180.0,66
transaction,600000.SH,2016-05-04 09:36:18.860000,18.18,500,9090.0,66
transaction,600000.SH,2016-05-04 09:36:18.860000,18.18,1000,18180.0,66
transaction,600000.SH,2016-05-04 09:36:18.860000,18.18,900,16362.0,66
transaction,000001.SZ,2016-05-04 09:36:20.370000,10.71,299,3202.0,66
transaction,000001.SZ,2016-05-04 09:36:20.370000,10.71,701,7507.0,66
transaction,000001.SZ,2016-05-04 09:36:20.860000,0.0,6500,0.0,32
transaction,000001.SZ,2016-05-04 09:36:20.940000,10.71,799,8557.0,66
transaction,000001.SZ,2016-05-04 09:36:20.940000,10.71,600,6426.0,66
transaction,000001.SZ,2016-05-04 09:36:20.940000,10.71,2000,21420.0,66
transaction,000001.SZ,2016-05-04 09:36:20.940000,10.71,1000,10710.0,66
transaction,000001.SZ,2016-05-04 09:36:20.940000,10.71,501,5365.0,66
transaction,000001.SZ,2016-05-04 09:36:21.380000,10.71,899,9628.0,66
transaction,000001.SZ,2016-05-04 09:36:21.380000,10.71,1,10.0,66
transaction,000001.SZ,2016-05-04 09:36:21.540000,0.0,10000,0.0,32
transaction,000001.SZ,2016-05-04 09:36:21.980000,0.0,1700,0.0,32
transaction,000001.SZ,2016-05-04 09:36:22.000000,0.0,1000,0.0,32
transaction,000001.SZ,2016-05-04 09:36:22.360000,10.71,999,10699.0,66
transaction,000001.SZ,2016-05-04 09:36:22.360000,10.71,701,7507.0,66
transaction,000001.SZ,2016-05-04 09:36:22.500000,10.71,500,5355.0,66
transaction,000001.SZ,2016-05-04 09:36:22.740000,10.7,5300,56709.0,83
transaction,600000.SH,2016-05-04 09:36:20.410000,18.18,100,1818.0,66
transaction,600000.SH,2016-05-04 09:36:20.410000,18.18,100,1818.0,66
transaction,600000.SH,2016-05-04 09:36:20.410000,18.18,3000,54540.0,66
transaction,600000.SH,2016-05-04 09:36:20.410000,18.18,500,9090.0,66
transaction,600000.SH,2016-05-04 09:36:20.410000,18.18,300,5454.0,66
transaction,600000.SH,2016-05-04 09:36:21.200000,18.16,200,3632.0,83
transaction,600000.SH,2016-05-04 09:36:21.200000,18.15,1800,32669.0,83
transaction,600000.SH,2016-05-04 09:36:22.400000,18.18,600,10908.0,66
transaction,000001.SZ,2016-05-04 09:36:24.170000,10.71,799,8557.0,66
transaction,000001.SZ,2016-05-04 09:36:24.170000,10.71,2000,21420.0,66
transaction,000001.SZ,2016-05-04 09:36:24.170000,10.71,200,2142.0,66
transaction,000001.SZ,2016-05-04 09:36:24.170000,10.71,700,7497.0,66
transaction,000001.SZ,2016-05-04 09:36:24.170000,10.71,3000,32130.0,66
transaction,000001.SZ,2016-05-04 09:36:24.170000,10.71,3800,40698.0,66
transaction,000001.SZ,2016-05-04 09:36:24.170000,10.71,500,5355.0,66
transaction,000001.SZ,2016-05-04 09:36:24.170000,10.71,1000,10710.0,66
transaction,000001.SZ,2016-05-04 09:36:24.170000,10.71,10000,107100.0,66
transaction,000001.SZ,2016-05-04 09:36:24.170000,10.71,3000,32130.0,66
transaction,000001.SZ,2016-05-04 09:36:24.170000,10.71,1500,16065.0,66
transaction,000001.SZ,2016-05-04 09:36:24.170000,10.71,3501,37495.0,66
transaction,000001.SZ,2016-05-04 09:36:24.250000,0.0,200,0.0,32
