类型,WindCode,日期时间,委托价格,买卖方向,订单数量,订单明细1,订单明细2,订单明细3,订单明细4,订单明细5,订单明细6,订单明细7,订单明细8,订单明细9,订单明细10,订单明细11,订单明细12,订单明细13,订单明细14,订单明细15,订单明细16,订单明细17,订单明细18,订单明细19,订单明细20,订单明细21,订单明细22,订单明细23,订单明细24,订单明细25,订单明细26,订单明细27,订单明细28,订单明细29,订单明细30,订单明细31,订单明细32,订单明细33,订单明细34,订单明细35,订单明细36,订单明细37,订单明细38,订单明细39,订单明细40,订单明细41,订单明细42,订单明细43,订单明细44,订单明细45,订单明细46,订单明细47,订单明细48,订单明细49,订单明细50,订单明细51,订单明细52,订单明细53,订单明细54,订单明细55,订单明细56,订单明细57,订单明细58,订单明细59,订单明细60,订单明细61,订单明细62,订单明细63,订单明细64,订单明细65,订单明细66,订单明细67,订单明细68,订单明细69,订单明细70,订单明细71,订单明细72,订单明细73,订单明细74,订单明细75,订单明细76,订单明细77,订单明细78,订单明细79,订单明细80,订单明细81,订单明细82,订单明细83,订单明细84,订单明细85,订单明细86,订单明细87,订单明细88,订单明细89,订单明细90,订单明细91,订单明细92,订单明细93,订单明细94,订单明细95,订单明细96,订单明细97,订单明细98,订单明细99,订单明细100,订单明细101,订单明细102,订单明细103,订单明细104,订单明细105,订单明细106,订单明细107,订单明细108,订单明细109,订单明细110,订单明细111,订单明细112,订单明细113,订单明细114,订单明细115,订单明细116,订单明细117,订单明细118,订单明细119,订单明细120,订单明细121,订单明细122,订单明细123,订单明细124,订单明细125,订单明细126,订单明细127,订单明细128,订单明细129,订单明细130,订单明细131,订单明细132,订单明细133,订单明细134,订单明细135,订单明细136,订单明细137,订单明细138,订单明细139,订单明细140,订单明细141,订单明细142,订单明细143,订单明细144,订单明细145,订单明细146,订单明细147,订单明细148,订单明细149,订单明细150,订单明细151,订单明细152,订单明细153,订单明细154,订单明细155,订单明细156,订单明细157,订单明细158,订单明细159,订单明细160,订单明细161,订单明细162,订单明细163,订单明细164,订单明细165,订单明细166,订单明细167,订单明细168,订单明细169,订单明细170,订单明细171,订单明细172,订单明细173,订单明细174,订单明细175,订单明细176,订单明细177,订单明细178,订单明细179,订单明细180,订单明细181,订单明细182,订单明细183,订单明细184,订单明细185,订单明细186,订单明细187,订单明细188,订单明细189,订单明细190,订单明细191,订单明细192,订单明细193,订单明细194,订单明细195,订单明细196,订单明细197,订单明细198,订单明细199,订单明细200
orderQueue,000001.SZ,2016-05-04 09:31:18.000000,10.66,B,11,500,100,2000,300,100000,10000,2000,7500,100,1000,2000
orderQueue,000001.SZ,2016-05-04 09:31:20.000000,10.67,A,1,35900
orderQueue,000001.SZ,2016-05-04 09:31:20.000000,10.66,B,11,500,100,2000,300,100000,10000,2000,7500,100,1000,2000
orderQueue,600000.SH,2016-05-04 09:31:23.000000,18.1,A,1,25100
orderQueue,600000.SH,2016-05-04 09:31:23.000000,18.09,B,2,1300,400
orderQueue,600000.SH,2016-05-04 09:31:25.000000,18.1,A,2,24100,2000
orderQueue,600000.SH,2016-05-04 09:31:25.000000,18.09,B,2,900,400
orderQueue,000001.SZ,2016-05-04 09:31:24.000000,10.67,A,4,34900,900,600,2000
orderQueue,000001.SZ,2016-05-04 09:31:24.000000,10.66,B,11,500,100,2000,300,100000,10000,2000,7500,100,1000,2000
orderQueue,000001.SZ,2016-05-04 09:31:27.000000,10.67,A,4,30900,900,600,2000
orderQueue,000001.SZ,2016-05-04 09:31:27.000000,10.66,B,11,500,100,2000,300,100000,10000,2000,7500,100,1000,2000
orderQueue,600000.SH,2016-05-04 09:31:29.000000,18.1,A,2,24000,2000
orderQueue,600000.SH,2016-05-04 09:31:29.000000,18.09,B,4,900,400,600,500
orderQueue,000001.SZ,2016-05-04 09:31:29.000000,10.67,A,4,22700,900,600,2000
orderQueue,000001.SZ,2016-05-04 09:31:29.000000,10.66,B,10,100,2000,300,100000,10000,2000,7500,100,1000,2000
orderQueue,600000.SH,2016-05-04 09:31:32.000000,18.1,A,2,7400,2000
orderQueue,600000.SH,2016-05-04 09:31:32.000000,18.09,B,1,200
orderQueue,600000.SH,2016-05-04 09:31:35.000000,18.1,A,2,4300,2000
orderQueue,000001.SZ,2016-05-04 09:31:33.000000,10.67,A,5,12900,900,600,2000,7200
orderQueue,000001.SZ,2016-05-04 09:31:33.000000,10.66,B,7,99300,10000,2000,7500,100,1000,2000
orderQueue,000001.SZ,2016-05-04 09:31:36.000000,10.67,A,5,800,600,2000,7200,100
orderQueue,000001.SZ,2016-05-04 09:31:36.000000,10.66,B,8,99300,10000,2000,7500,100,1000,2000,300
orderQueue,600000.SH,2016-05-04 09:31:38.000000,18.11,A,2,10000,200
orderQueue,600000.SH,2016-05-04 09:31:38.000000,18.1,B,3,12100,2000,300
orderQueue,000001.SZ,2016-05-04 09:31:39.000000,10.69,A,15,243,2000,5000,91200,14900,400,800,5000,3000,2600,500,2000,800,100,1000
orderQueue,000001.SZ,2016-05-04 09:31:39.000000,10.67,B,2,1900,30000
orderQueue,600000.SH,2016-05-04 09:31:41.000000,18.1,B,4,10800,2000,300,500
orderQueue,000001.SZ,2016-05-04 09:31:42.000000,10.69,A,12,88443,14900,400,800,5000,3000,2600,500,2000,800,100,1000
orderQueue,000001.SZ,2016-05-04 09:31:42.000000,10.67,B,4,1370,30000,4700,1000
orderQueue,600000.SH,2016-05-04 09:31:44.000000,18.12,A,9,38,1,100,1000,100,200,600,200,500
orderQueue,600000.SH,2016-05-04 09:31:44.000000,18.11,B,1,300
orderQueue,000001.SZ,2016-05-04 09:31:45.000000,10.68,A,1,300
orderQueue,000001.SZ,2016-05-04 09:31:45.000000,10.67,B,8,1370,30000,4700,1000,400,50000,38600,2100
orderQueue,600000.SH,2016-05-04 09:31:47.000000,18.12,A,1,439
orderQueue,600000.SH,2016-05-04 09:31:50.000000,18.14,A,4,2739,200,200,10000
orderQueue,600000.SH,2016-05-04 09:31:50.000000,18.12,B,1,1000
orderQueue,000001.SZ,2016-05-04 09:31:48.000000,10.68,A,2,300,100
orderQueue,000001.SZ,2016-05-04 09:31:48.000000,10.67,B,9,370,30000,4700,1000,400,50000,38600,2100,6200
orderQueue,000001.SZ,2016-05-04 09:31:51.000000,10.69,A,13,88443,14900,400,800,5000,3000,2600,500,2000,800,100,1000,500
orderQueue,000001.SZ,2016-05-04 09:31:51.000000,10.68,B,1,600
orderQueue,600000.SH,2016-05-04 09:31:55.000000,18.1,B,7,6300,2000,300,20000,100,3000,500
orderQueue,000001.SZ,2016-05-04 09:31:54.000000,10.69,A,13,80543,14900,400,800,5000,3000,2600,500,2000,800,100,1000,500
orderQueue,000001.SZ,2016-05-04 09:31:54.000000,10.68,B,1,11400
